idx,site,xseq_lb,xseq_ub,yseq_lb,yseq_ub
96,SOAP,292509.55,292653.55,4104428.139,4104572.139
97,SOAP,292509.55,292653.55,4104524.139,4104668.139
98,SOAP,292509.55,292653.55,4104620.139,4104764.139
99,SOAP,292509.55,292653.55,4104716.139,4104860.139
100,SOAP,292509.55,292653.55,4104812.139,4104956.139
101,SOAP,292509.55,292653.55,4104908.139,4105052.139
102,SOAP,292509.55,292653.55,4105004.139,4105148.139
103,SOAP,292509.55,292653.55,4105100.139,4105244.139
104,SOAP,292509.55,292653.55,4105196.139,4105340.139
105,SOAP,292509.55,292653.55,4105292.139,4105436.139
106,SOAP,292509.55,292653.55,4105388.139,4105532.139
107,SOAP,292509.55,292653.55,4105484.139,4105628.139
108,SOAP,292509.55,292653.55,4105580.139,4105724.139
109,SOAP,292509.55,292653.55,4105676.139,4105820.139
110,SOAP,292509.55,292653.55,4105772.139,4105916.139
111,SOAP,292509.55,292653.55,4105868.139,4106012.139
112,SOAP,292509.55,292653.55,4105964.139,4106108.139
113,SOAP,292509.55,292653.55,4106060.139,4106204.139
114,SOAP,292509.55,292653.55,4106156.139,4106300.139
115,SOAP,292509.55,292653.55,4106252.139,4106396.139
116,SOAP,292509.55,292653.55,4106348.139,4106492.139
117,SOAP,292509.55,292653.55,4106444.139,4106588.139
118,SOAP,292509.55,292653.55,4106540.139,4106684.139
119,SOAP,292509.55,292653.55,4106636.139,4106780.139
120,SOAP,292509.55,292653.55,4106732.139,4106876.139
121,SOAP,292509.55,292653.55,4106828.139,4106972.139
122,SOAP,292509.55,292653.55,4106924.139,4107068.139
123,SOAP,292509.55,292653.55,4107020.139,4107164.139
124,SOAP,292509.55,292653.55,4107116.139,4107260.139
125,SOAP,292509.55,292653.55,4107212.139,4107356.139
126,SOAP,292509.55,292653.55,4107308.139,4107452.139
127,SOAP,292509.55,292653.55,4107404.139,4107548.139
128,SOAP,292509.55,292653.55,4107500.139,4107644.139
129,SOAP,292509.55,292653.55,4107596.139,4107740.139
130,SOAP,292509.55,292653.55,4107692.139,4107836.139
131,SOAP,292509.55,292653.55,4107788.139,4107932.139
132,SOAP,292509.55,292653.55,4107884.139,4108028.139
133,SOAP,292509.55,292653.55,4107980.139,4108124.139
134,SOAP,292509.55,292653.55,4108076.139,4108220.139
135,SOAP,292509.55,292653.55,4108172.139,4108316.139
136,SOAP,292509.55,292653.55,4108268.139,4108412.139
137,SOAP,292509.55,292653.55,4108364.139,4108508.139
138,SOAP,292509.55,292653.55,4108460.139,4108604.139
139,SOAP,292509.55,292653.55,4108556.139,4108700.139
140,SOAP,292509.55,292653.55,4108652.139,4108796.139
141,SOAP,292509.55,292653.55,4108748.139,4108892.139
142,SOAP,292509.55,292653.55,4108844.139,4108988.139
143,SOAP,292509.55,292653.55,4108940.139,4109084.139
144,SOAP,292509.55,292653.55,4109036.139,4109180.139
145,SOAP,292509.55,292653.55,4109132.139,4109276.139
146,SOAP,292509.55,292653.55,4109228.139,4109372.139
147,SOAP,292605.55,292749.55,4095308.139,4095452.139
148,SOAP,292605.55,292749.55,4095404.139,4095548.139
149,SOAP,292605.55,292749.55,4095500.139,4095644.139
150,SOAP,292605.55,292749.55,4095596.139,4095740.139
151,SOAP,292605.55,292749.55,4095692.139,4095836.139
152,SOAP,292605.55,292749.55,4095788.139,4095932.139
153,SOAP,292605.55,292749.55,4095884.139,4096028.139
154,SOAP,292605.55,292749.55,4095980.139,4096124.139
155,SOAP,292605.55,292749.55,4096076.139,4096220.139
156,SOAP,292605.55,292749.55,4096172.139,4096316.139
157,SOAP,292605.55,292749.55,4096268.139,4096412.139
158,SOAP,292605.55,292749.55,4096364.139,4096508.139
159,SOAP,292605.55,292749.55,4096460.139,4096604.139
160,SOAP,292605.55,292749.55,4096556.139,4096700.139
161,SOAP,292605.55,292749.55,4096652.139,4096796.139
162,SOAP,292605.55,292749.55,4096748.139,4096892.139
163,SOAP,292605.55,292749.55,4096844.139,4096988.139
164,SOAP,292605.55,292749.55,4096940.139,4097084.139
165,SOAP,292605.55,292749.55,4097036.139,4097180.139
166,SOAP,292605.55,292749.55,4097132.139,4097276.139
167,SOAP,292605.55,292749.55,4097228.139,4097372.139
168,SOAP,292605.55,292749.55,4097324.139,4097468.139
169,SOAP,292605.55,292749.55,4097420.139,4097564.139
170,SOAP,292605.55,292749.55,4097516.139,4097660.139
171,SOAP,292605.55,292749.55,4097612.139,4097756.139
172,SOAP,292605.55,292749.55,4097708.139,4097852.139
173,SOAP,292605.55,292749.55,4097804.139,4097948.139
174,SOAP,292605.55,292749.55,4097900.139,4098044.139
175,SOAP,292605.55,292749.55,4097996.139,4098140.139
176,SOAP,292605.55,292749.55,4098092.139,4098236.139
177,SOAP,292605.55,292749.55,4098188.139,4098332.139
178,SOAP,292605.55,292749.55,4098284.139,4098428.139
179,SOAP,292605.55,292749.55,4098380.139,4098524.139
180,SOAP,292605.55,292749.55,4098476.139,4098620.139
181,SOAP,292605.55,292749.55,4098572.139,4098716.139
182,SOAP,292605.55,292749.55,4098668.139,4098812.139
183,SOAP,292605.55,292749.55,4098764.139,4098908.139
184,SOAP,292605.55,292749.55,4098860.139,4099004.139
185,SOAP,292605.55,292749.55,4098956.139,4099100.139
186,SOAP,292605.55,292749.55,4099052.139,4099196.139
187,SOAP,292605.55,292749.55,4099148.139,4099292.139
188,SOAP,292605.55,292749.55,4099244.139,4099388.139
189,SOAP,292605.55,292749.55,4099340.139,4099484.139
190,SOAP,292605.55,292749.55,4099436.139,4099580.139
191,SOAP,292605.55,292749.55,4099532.139,4099676.139
192,SOAP,292605.55,292749.55,4099628.139,4099772.139
193,SOAP,292605.55,292749.55,4099724.139,4099868.139
194,SOAP,292605.55,292749.55,4099820.139,4099964.139
195,SOAP,292605.55,292749.55,4099916.139,4100060.139
196,SOAP,292605.55,292749.55,4100012.139,4100156.139
197,SOAP,292605.55,292749.55,4100108.139,4100252.139
198,SOAP,292605.55,292749.55,4100204.139,4100348.139
199,SOAP,292605.55,292749.55,4100300.139,4100444.139
200,SOAP,292605.55,292749.55,4100396.139,4100540.139
201,SOAP,292605.55,292749.55,4100492.139,4100636.139
202,SOAP,292605.55,292749.55,4100588.139,4100732.139
203,SOAP,292605.55,292749.55,4100684.139,4100828.139
204,SOAP,292605.55,292749.55,4100780.139,4100924.139
205,SOAP,292605.55,292749.55,4100876.139,4101020.139
206,SOAP,292605.55,292749.55,4100972.139,4101116.139
207,SOAP,292605.55,292749.55,4101068.139,4101212.139
208,SOAP,292605.55,292749.55,4101164.139,4101308.139
209,SOAP,292605.55,292749.55,4101260.139,4101404.139
210,SOAP,292605.55,292749.55,4101356.139,4101500.139
211,SOAP,292605.55,292749.55,4101452.139,4101596.139
212,SOAP,292605.55,292749.55,4101548.139,4101692.139
213,SOAP,292605.55,292749.55,4101644.139,4101788.139
214,SOAP,292605.55,292749.55,4101740.139,4101884.139
215,SOAP,292605.55,292749.55,4101836.139,4101980.139
216,SOAP,292605.55,292749.55,4101932.139,4102076.139
217,SOAP,292605.55,292749.55,4102028.139,4102172.139
218,SOAP,292605.55,292749.55,4102124.139,4102268.139
219,SOAP,292605.55,292749.55,4102220.139,4102364.139
220,SOAP,292605.55,292749.55,4102316.139,4102460.139
221,SOAP,292605.55,292749.55,4102412.139,4102556.139
222,SOAP,292605.55,292749.55,4102508.139,4102652.139
223,SOAP,292605.55,292749.55,4102604.139,4102748.139
224,SOAP,292605.55,292749.55,4102700.139,4102844.139
225,SOAP,292605.55,292749.55,4102796.139,4102940.139
226,SOAP,292605.55,292749.55,4102892.139,4103036.139
227,SOAP,292605.55,292749.55,4102988.139,4103132.139
228,SOAP,292605.55,292749.55,4103084.139,4103228.139
229,SOAP,292605.55,292749.55,4103180.139,4103324.139
230,SOAP,292605.55,292749.55,4103276.139,4103420.139
231,SOAP,292605.55,292749.55,4103372.139,4103516.139
232,SOAP,292605.55,292749.55,4103468.139,4103612.139
233,SOAP,292605.55,292749.55,4103564.139,4103708.139
234,SOAP,292605.55,292749.55,4103660.139,4103804.139
235,SOAP,292605.55,292749.55,4103756.139,4103900.139
236,SOAP,292605.55,292749.55,4103852.139,4103996.139
237,SOAP,292605.55,292749.55,4103948.139,4104092.139
238,SOAP,292605.55,292749.55,4104044.139,4104188.139
239,SOAP,292605.55,292749.55,4104140.139,4104284.139
240,SOAP,292605.55,292749.55,4104236.139,4104380.139
241,SOAP,292605.55,292749.55,4104332.139,4104476.139
242,SOAP,292605.55,292749.55,4104428.139,4104572.139
243,SOAP,292605.55,292749.55,4104524.139,4104668.139
244,SOAP,292605.55,292749.55,4104620.139,4104764.139
245,SOAP,292605.55,292749.55,4104716.139,4104860.139
246,SOAP,292605.55,292749.55,4104812.139,4104956.139
247,SOAP,292605.55,292749.55,4104908.139,4105052.139
248,SOAP,292605.55,292749.55,4105004.139,4105148.139
249,SOAP,292605.55,292749.55,4105100.139,4105244.139
250,SOAP,292605.55,292749.55,4105196.139,4105340.139
251,SOAP,292605.55,292749.55,4105292.139,4105436.139
252,SOAP,292605.55,292749.55,4105388.139,4105532.139
253,SOAP,292605.55,292749.55,4105484.139,4105628.139
254,SOAP,292605.55,292749.55,4105580.139,4105724.139
255,SOAP,292605.55,292749.55,4105676.139,4105820.139
256,SOAP,292605.55,292749.55,4105772.139,4105916.139
257,SOAP,292605.55,292749.55,4105868.139,4106012.139
258,SOAP,292605.55,292749.55,4105964.139,4106108.139
259,SOAP,292605.55,292749.55,4106060.139,4106204.139
260,SOAP,292605.55,292749.55,4106156.139,4106300.139
261,SOAP,292605.55,292749.55,4106252.139,4106396.139
262,SOAP,292605.55,292749.55,4106348.139,4106492.139
263,SOAP,292605.55,292749.55,4106444.139,4106588.139
264,SOAP,292605.55,292749.55,4106540.139,4106684.139
265,SOAP,292605.55,292749.55,4106636.139,4106780.139
266,SOAP,292605.55,292749.55,4106732.139,4106876.139
267,SOAP,292605.55,292749.55,4106828.139,4106972.139
268,SOAP,292605.55,292749.55,4106924.139,4107068.139
269,SOAP,292605.55,292749.55,4107020.139,4107164.139
270,SOAP,292605.55,292749.55,4107116.139,4107260.139
271,SOAP,292605.55,292749.55,4107212.139,4107356.139
272,SOAP,292605.55,292749.55,4107308.139,4107452.139
273,SOAP,292605.55,292749.55,4107404.139,4107548.139
274,SOAP,292605.55,292749.55,4107500.139,4107644.139
275,SOAP,292605.55,292749.55,4107596.139,4107740.139
276,SOAP,292605.55,292749.55,4107692.139,4107836.139
277,SOAP,292605.55,292749.55,4107788.139,4107932.139
278,SOAP,292605.55,292749.55,4107884.139,4108028.139
279,SOAP,292605.55,292749.55,4107980.139,4108124.139
280,SOAP,292605.55,292749.55,4108076.139,4108220.139
281,SOAP,292605.55,292749.55,4108172.139,4108316.139
282,SOAP,292605.55,292749.55,4108268.139,4108412.139
283,SOAP,292605.55,292749.55,4108364.139,4108508.139
284,SOAP,292605.55,292749.55,4108460.139,4108604.139
285,SOAP,292605.55,292749.55,4108556.139,4108700.139
286,SOAP,292605.55,292749.55,4108652.139,4108796.139
287,SOAP,292605.55,292749.55,4108748.139,4108892.139
288,SOAP,292605.55,292749.55,4108844.139,4108988.139
289,SOAP,292605.55,292749.55,4108940.139,4109084.139
290,SOAP,292605.55,292749.55,4109036.139,4109180.139
291,SOAP,292605.55,292749.55,4109132.139,4109276.139
292,SOAP,292605.55,292749.55,4109228.139,4109372.139
293,SOAP,292701.55,292845.55,4095308.139,4095452.139
294,SOAP,292701.55,292845.55,4095404.139,4095548.139
295,SOAP,292701.55,292845.55,4095500.139,4095644.139
296,SOAP,292701.55,292845.55,4095596.139,4095740.139
297,SOAP,292701.55,292845.55,4095692.139,4095836.139
298,SOAP,292701.55,292845.55,4095788.139,4095932.139
299,SOAP,292701.55,292845.55,4095884.139,4096028.139
300,SOAP,292701.55,292845.55,4095980.139,4096124.139
301,SOAP,292701.55,292845.55,4096076.139,4096220.139
302,SOAP,292701.55,292845.55,4096172.139,4096316.139
303,SOAP,292701.55,292845.55,4096268.139,4096412.139
304,SOAP,292701.55,292845.55,4096364.139,4096508.139
305,SOAP,292701.55,292845.55,4096460.139,4096604.139
306,SOAP,292701.55,292845.55,4096556.139,4096700.139
307,SOAP,292701.55,292845.55,4096652.139,4096796.139
308,SOAP,292701.55,292845.55,4096748.139,4096892.139
309,SOAP,292701.55,292845.55,4096844.139,4096988.139
310,SOAP,292701.55,292845.55,4096940.139,4097084.139
311,SOAP,292701.55,292845.55,4097036.139,4097180.139
312,SOAP,292701.55,292845.55,4097132.139,4097276.139
313,SOAP,292701.55,292845.55,4097228.139,4097372.139
314,SOAP,292701.55,292845.55,4097324.139,4097468.139
315,SOAP,292701.55,292845.55,4097420.139,4097564.139
316,SOAP,292701.55,292845.55,4097516.139,4097660.139
317,SOAP,292701.55,292845.55,4097612.139,4097756.139
318,SOAP,292701.55,292845.55,4097708.139,4097852.139
319,SOAP,292701.55,292845.55,4097804.139,4097948.139
320,SOAP,292701.55,292845.55,4097900.139,4098044.139
321,SOAP,292701.55,292845.55,4097996.139,4098140.139
322,SOAP,292701.55,292845.55,4098092.139,4098236.139
323,SOAP,292701.55,292845.55,4098188.139,4098332.139
324,SOAP,292701.55,292845.55,4098284.139,4098428.139
325,SOAP,292701.55,292845.55,4098380.139,4098524.139
326,SOAP,292701.55,292845.55,4098476.139,4098620.139
327,SOAP,292701.55,292845.55,4098572.139,4098716.139
328,SOAP,292701.55,292845.55,4098668.139,4098812.139
329,SOAP,292701.55,292845.55,4098764.139,4098908.139
330,SOAP,292701.55,292845.55,4098860.139,4099004.139
331,SOAP,292701.55,292845.55,4098956.139,4099100.139
332,SOAP,292701.55,292845.55,4099052.139,4099196.139
333,SOAP,292701.55,292845.55,4099148.139,4099292.139
334,SOAP,292701.55,292845.55,4099244.139,4099388.139
335,SOAP,292701.55,292845.55,4099340.139,4099484.139
336,SOAP,292701.55,292845.55,4099436.139,4099580.139
337,SOAP,292701.55,292845.55,4099532.139,4099676.139
338,SOAP,292701.55,292845.55,4099628.139,4099772.139
339,SOAP,292701.55,292845.55,4099724.139,4099868.139
340,SOAP,292701.55,292845.55,4099820.139,4099964.139
341,SOAP,292701.55,292845.55,4099916.139,4100060.139
342,SOAP,292701.55,292845.55,4100012.139,4100156.139
343,SOAP,292701.55,292845.55,4100108.139,4100252.139
344,SOAP,292701.55,292845.55,4100204.139,4100348.139
345,SOAP,292701.55,292845.55,4100300.139,4100444.139
346,SOAP,292701.55,292845.55,4100396.139,4100540.139
347,SOAP,292701.55,292845.55,4100492.139,4100636.139
348,SOAP,292701.55,292845.55,4100588.139,4100732.139
349,SOAP,292701.55,292845.55,4100684.139,4100828.139
350,SOAP,292701.55,292845.55,4100780.139,4100924.139
351,SOAP,292701.55,292845.55,4100876.139,4101020.139
352,SOAP,292701.55,292845.55,4100972.139,4101116.139
353,SOAP,292701.55,292845.55,4101068.139,4101212.139
354,SOAP,292701.55,292845.55,4101164.139,4101308.139
355,SOAP,292701.55,292845.55,4101260.139,4101404.139
356,SOAP,292701.55,292845.55,4101356.139,4101500.139
357,SOAP,292701.55,292845.55,4101452.139,4101596.139
358,SOAP,292701.55,292845.55,4101548.139,4101692.139
359,SOAP,292701.55,292845.55,4101644.139,4101788.139
360,SOAP,292701.55,292845.55,4101740.139,4101884.139
361,SOAP,292701.55,292845.55,4101836.139,4101980.139
362,SOAP,292701.55,292845.55,4101932.139,4102076.139
363,SOAP,292701.55,292845.55,4102028.139,4102172.139
364,SOAP,292701.55,292845.55,4102124.139,4102268.139
365,SOAP,292701.55,292845.55,4102220.139,4102364.139
366,SOAP,292701.55,292845.55,4102316.139,4102460.139
367,SOAP,292701.55,292845.55,4102412.139,4102556.139
368,SOAP,292701.55,292845.55,4102508.139,4102652.139
369,SOAP,292701.55,292845.55,4102604.139,4102748.139
370,SOAP,292701.55,292845.55,4102700.139,4102844.139
371,SOAP,292701.55,292845.55,4102796.139,4102940.139
372,SOAP,292701.55,292845.55,4102892.139,4103036.139
373,SOAP,292701.55,292845.55,4102988.139,4103132.139
374,SOAP,292701.55,292845.55,4103084.139,4103228.139
375,SOAP,292701.55,292845.55,4103180.139,4103324.139
376,SOAP,292701.55,292845.55,4103276.139,4103420.139
377,SOAP,292701.55,292845.55,4103372.139,4103516.139
378,SOAP,292701.55,292845.55,4103468.139,4103612.139
379,SOAP,292701.55,292845.55,4103564.139,4103708.139
380,SOAP,292701.55,292845.55,4103660.139,4103804.139
381,SOAP,292701.55,292845.55,4103756.139,4103900.139
382,SOAP,292701.55,292845.55,4103852.139,4103996.139
383,SOAP,292701.55,292845.55,4103948.139,4104092.139
384,SOAP,292701.55,292845.55,4104044.139,4104188.139
385,SOAP,292701.55,292845.55,4104140.139,4104284.139
386,SOAP,292701.55,292845.55,4104236.139,4104380.139
387,SOAP,292701.55,292845.55,4104332.139,4104476.139
388,SOAP,292701.55,292845.55,4104428.139,4104572.139
389,SOAP,292701.55,292845.55,4104524.139,4104668.139
390,SOAP,292701.55,292845.55,4104620.139,4104764.139
391,SOAP,292701.55,292845.55,4104716.139,4104860.139
392,SOAP,292701.55,292845.55,4104812.139,4104956.139
393,SOAP,292701.55,292845.55,4104908.139,4105052.139
394,SOAP,292701.55,292845.55,4105004.139,4105148.139
395,SOAP,292701.55,292845.55,4105100.139,4105244.139
396,SOAP,292701.55,292845.55,4105196.139,4105340.139
397,SOAP,292701.55,292845.55,4105292.139,4105436.139
398,SOAP,292701.55,292845.55,4105388.139,4105532.139
399,SOAP,292701.55,292845.55,4105484.139,4105628.139
400,SOAP,292701.55,292845.55,4105580.139,4105724.139
401,SOAP,292701.55,292845.55,4105676.139,4105820.139
402,SOAP,292701.55,292845.55,4105772.139,4105916.139
403,SOAP,292701.55,292845.55,4105868.139,4106012.139
404,SOAP,292701.55,292845.55,4105964.139,4106108.139
405,SOAP,292701.55,292845.55,4106060.139,4106204.139
406,SOAP,292701.55,292845.55,4106156.139,4106300.139
407,SOAP,292701.55,292845.55,4106252.139,4106396.139
408,SOAP,292701.55,292845.55,4106348.139,4106492.139
409,SOAP,292701.55,292845.55,4106444.139,4106588.139
410,SOAP,292701.55,292845.55,4106540.139,4106684.139
411,SOAP,292701.55,292845.55,4106636.139,4106780.139
412,SOAP,292701.55,292845.55,4106732.139,4106876.139
413,SOAP,292701.55,292845.55,4106828.139,4106972.139
414,SOAP,292701.55,292845.55,4106924.139,4107068.139
415,SOAP,292701.55,292845.55,4107020.139,4107164.139
416,SOAP,292701.55,292845.55,4107116.139,4107260.139
417,SOAP,292701.55,292845.55,4107212.139,4107356.139
418,SOAP,292701.55,292845.55,4107308.139,4107452.139
419,SOAP,292701.55,292845.55,4107404.139,4107548.139
420,SOAP,292701.55,292845.55,4107500.139,4107644.139
421,SOAP,292701.55,292845.55,4107596.139,4107740.139
422,SOAP,292701.55,292845.55,4107692.139,4107836.139
423,SOAP,292701.55,292845.55,4107788.139,4107932.139
424,SOAP,292701.55,292845.55,4107884.139,4108028.139
425,SOAP,292701.55,292845.55,4107980.139,4108124.139
426,SOAP,292701.55,292845.55,4108076.139,4108220.139
427,SOAP,292701.55,292845.55,4108172.139,4108316.139
428,SOAP,292701.55,292845.55,4108268.139,4108412.139
429,SOAP,292701.55,292845.55,4108364.139,4108508.139
